Baked Nigerian Moi Moi,"
If you are using beans seeds, peel the beans, blend and mix the Nigerian Moi Moi as usual using the following procedures:

How to Peel Beans with a Mortar
How to Peel Beans with a Blender
How to cook Nigerian Moi Moi with Beans Seeds
Cook Nigerian Moi Moi with Beans Flour


Set your oven to 200°C, 390F or Gas Mark 6 to preheat. Set it to bake that is, top and down heating.
Rub vegetable oil in the muffin cups.
Pour the Moi Moi mix into the muffin cups.
Cover with aluminium foil and fold the foil into the sides of the muffin cup. This aluminium foil prevents the Moi Moi from drying up.
Pour some water in the oven tray and place the muffin tray with the Moi Moi mix in the tray.
Bake in the preheated oven for 45 minutes. Check it from time to time to ensure there is always water in the oven tray. If it looks like it is drying up, top up the water.
When done, leave to cool down completely and bring them out from the muffin cups.
","
350g black eyed beans
1 habanero pepper
1 big red bell pepper
2 stock cubes
2 cooking spoons vegetable oil
1 tablespoon ground crayfish
1 teaspoon nutmeg
1 onion
Salt (to taste)
Warm water (for grinding and mixing)
","quantity:350g;customIngredient:black eyed beans;|quantity:1;customIngredient:habanero pepper;|
quantity:1;customIngredient:big red bell pepper;|
quantity:2 stock;customIngredient:cubes;|
quantity:2 cooking spoons;customIngredient:vegetable oil;|quantity:1 tablespoon;customIngredient:ground crayfish;|
quantity:1 teaspoon;customIngredient:nutmeg;|
quantity:1;customIngredient:onion;|
quantity:1;customIngredient:Salt (to taste);|quantity:1;customIngredient:Warm water (for grinding and mixing);|
",https://www.allnigerianrecipes.com/beans/baked-nigerian-moi-moi/,,https://www.youtube.com/embed/eQAgN9UCuig,https://www.allnigerianrecipes.com/wp-content/uploads/2019/04/baked-moi-moi.jpg,"By baking Nigerian Moi Moi in the oven, I get these cute cup sized Nigerian Moi Moi that is great for kids and for your guests."
Nigerian Beans Porridge,"
Put the beans in a pot and pour water up to the level of the beans and start cooking.

Note: If you have a pressure cooker, beans is one of the staple foods you will want to use it for. It reduces the cooking time considerably.
        

Cook till tender, adding more water from time to time, if necessary. Always keep the water at the same level as the beans so that when the beans is done, you will not have too much water in the porridge.
When the beans porridge is soft, add the onions, crayfish (if using it), pepper and seasoning.
Add the red palm oil, salt to taste and cook for more 5 minutes on medium heat.

Note:To get the most out of beans, it is best to cook it with one of the following: sweet yam, ripe/unripe plantain, sweet potatoes or baby corn. If you will add any of these, this is when to do so. Then instead of cooking for 5 minutes, cook till the added yam / plantain / potatoes is done. The baby corn should be added when you turn off the heat in step 5.
        

Turn off the heat, add the baby corn (if you have chosen to use it), leave to stand for 5 minutes and turn the porridge with a wooden spoon.
","
3 cigar cups (approx. 750g) brown/black eyed beans
Red palm oil (enough to colour)
1 medium onion
Pepper & Salt (to taste)
1 big stock cube
500g Yam/Plantain/Sweet Potatoes/Baby Corn (Optional)
","quantity:3 cigar cups;customIngredient:(approx. 750g) brown/black eyed beans;|quantity:1;customIngredient:Red palm oil (enough to colour);|
quantity:1;customIngredient:medium onion;|
quantity:1;customIngredient:Pepper & Salt (to taste);|
quantity:1 stock;customIngredient:big  cube;|quantity:500g;customIngredient:Yam/Plantain/Sweet Potatoes/Baby Corn (Optional);|
",https://www.allnigerianrecipes.com/beans/beans-porridge/,,https://www.youtube.com/embed/1xxo9dGIgWc,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/beans-porridge.jpg,Beans Porridge is not a very popular recipe due to the bloating associated with beans. Discover how you can begin to love beans.
African Breadfruit (Ukwa),"
Put the thoroughly washed ukwa in a sizeable pot. I used a pressure pot in the video below because it cooks the ukwa much faster.
Pour enough water to cover the ukwa. The level of water should be about 1 inch above the level of the ukwa.
Add the edible potash. Add the dry fish or stock fish, cover the pot and cook till well done. The ukwa is done when the seeds melt when pressed. You may need to top up the water while cooking so watch it closely. If using a pressure pot, top ups will not be necessary.
Add enough palm oil to the well done ukwa, add pepper, stock cubes and salt to taste.
Stir. Cover and cook on medium heat till the palm oil changes colour from red to yellow. This should take about 5 minutes.
Stir and add the bitter leaves. 
Cover and leave to simmer or till the leaves wilt but still green and the ukwa is ready to be served. 
","
700g African Breadfruit
2 medium dry fish
2 small stock cubes
7g edible potash
Palm oil (enough to colour)
5-6 fresh bitter leaves
Pepper & Salt (to taste)
","quantity:700g;customIngredient:African Breadfruit;|quantity:2;customIngredient:medium dry fish;|
quantity:2 stock;customIngredient:small  cubes;|
quantity:7g;customIngredient:edible potash;|
quantity:1;customIngredient:Palm oil (enough to colour);|quantity:5-6;customIngredient:fresh bitter leaves;|
quantity:1;customIngredient:Pepper & Salt (to taste);|
",https://www.allnigerianrecipes.com/beans/breadfruit-ukwa/,,https://www.youtube.com/embed/rv4nI1La5C8,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/breadfruit-ukwa.jpg,African Breadfruit is known as Ukwa in Igbo and Treculia Africana in the science world. Learn how to prepare the delicious Breadfruit Porridge.
Chickpea Moi Moi,"
Rinse and soak the chickpeas in cool or lukewarm water for at least 3 hours or till you can cut the seed with your finger nails. You will also be able to peel it by rubbing it between your thumb and index finger. I soaked the one used in the video below for 6 hours.
Pour the chickpea in a sieve to drain, after that pour in a bowl.
Rinse, deseed and chop the sweet peppers to help your blender.
Chop the onions and habanero pepper.
Add the chopped sweet peppers, onions, habanero pepper, ground crayfish and seasoning cube (crushed) into the bowl of soaked chickpeas. 
Mix very well.
Blend in batches with warm water till you get a smooth puree. For the quantity of water to use: when blending each batch, add water to just under the level of chickpeas in the blender. That quantity of water is usually the right quantity of water for mixing the Chickpea Moi Moi.
Pour into a bowl. Add the oil and salt to taste.
Mix very well and scoop into containers of your choice and cook in a steam pot. Watch the video below to see how I set up the pot of boiling water and a base to keep the wraps of Moi Moi away from the water while it cooked.
For the quantity prepared in this recipe, I cooked it for 1 hour. For larger quantities, you will require a bit more time. If the water in the post dries up as you cook, add more water.
When done, bring out the wraps of Moi Moi and spread on a tray to cool down to a comfortable temperature. 
","
1½ cups chickpeas
1 habanero pepper (atarodo)
2 sweet peppers (fresh paprika)
1 big seasoning cube
2 cooking spoons vegetable oil
2 tablespoons ground crayfish
2 teaspoons ground nutmeg
1 onion
Salt (to taste)
Warm water (for grinding and mixing)
","quantity:1½ cups;customIngredient:chickpeas;|quantity:1;customIngredient:habanero pepper (atarodo);|
quantity:2;customIngredient:sweet peppers (fresh paprika);|
quantity:1;customIngredient:big seasoning cube;|
quantity:2 cooking spoons;customIngredient:vegetable oil;|quantity:2 tablespoon;customIngredient:s ground crayfish;|
quantity:2 teaspoon;customIngredient:s ground nutmeg;|
quantity:1;customIngredient:onion;|
quantity:1;customIngredient:Salt (to taste);|quantity:1;customIngredient:Warm water (for grinding and mixing);|
",https://www.allnigerianrecipes.com/beans/chickpea-moi-moi/,,https://www.youtube.com/embed/ggZqscsE4-Y,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/chickpea-moi-moi.jpg,"Chickpea Moi Moi makes it unbealievably easy to enjoy Moi Moi, the delicious Nigerian meal. It's not only beans that can be used to make Nigerian Moi Moi"
Nigerian Dan Wake,"
Mix all the dry ingredients in a bowl: beans flour, cassava flour, baking soda and kuka powder.
If you are using edible potash, add the solution and mix. If not, skip this step.
Start adding the beef stock bit by bit and mix the Dan Wake ingredients at the same time till you get a soft sticky dough (see video below). If your beef stock finishes and you still have not achieved a soft sticky dough, continue with warm water.
Once you are happy with the dough, set it aside.
Pour some water in a pot and set on the stove to boil. The size of your pot and the quantity of water depends on the quantity of Dan Wake you are making. You want a situation where you can put all the molded dumplings in the water and still have lots of room for them to swim around.
Once the water boils, start moulding the Dan Wake dough with your fingertips. You pick up a small quantity of the dough (about the size of an adult fufu swallow) with your fingertips and mould into a rough shape (should be like a shapeless amoeba lol) and throw into the boiling water. Repeat till the dough is exhausted. You will notice that the lumps of Dan Wake jumps to the surface of the water as soon as it heats up.
	Notes: 
	If you want the heart shaped Dan Wake that you can see in the photo above (perfect for St. Valentines btw *wink!), watch the video below to see how I made them with cookie cutters. You can make different shapes the same way. 
	If you used edible potash, the dan wake balls may not be quick to come to the surface when heated but do stir them so they do not stick to the bottom of the pot.
Cover the pot and continue cooking on medium heat.
After 10 minutes, stir and continue cooking. It should be done in 15 to 20 minutes on low to medium heat.
","
2 small party cups beans flour
1 small party cup cassava flour
2 teaspoons baking soda or 2 teaspoons edible potash
2 tablespoons kuka powder
Beef stock
","quantity:2 cups;customIngredient:small party  beans flour;|quantity:1 small party cup;customIngredient:cassava flour;|
quantity:2 teaspoon;customIngredient:s baking soda or  s edible potash;|
quantity:2 tablespoon;customIngredient:s kuka powder;|
quantity:1 stock;customIngredient:Beef;|",https://www.allnigerianrecipes.com/beans/dan-wake/,,https://www.youtube.com/embed/M8Z-fwucXxI,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/dan-wake.jpg,Dan Wake which literally means Son of Beans is a Northern Nigerian recipe. You can call Dan Wake Beans Dumplings in English because the preparation is similar.
How to Cook Ewa Agoyin,"
Cook the beans till done. For Ewa Agoyin, the beans needs to be very soft.

Note: If you have a pressure cooker, beans is one of the staple foods you will want to use it for. It considerably reduces the cooking time.
        

When the beans is done, add salt, leave to dry up all the water and set aside.
To cook the Agoyin, pour the palm oil into a separate dry pot. Allow to heat up till the oil starts smoking and the red colour changes to clear. It is better to do this at medium heat so that the oil does not get too hot too quickly. Remember to turn off your smoke alarm before doing this. 🙂 
        To keep the smoke to a minimum and still have the traditional taste of Ewa Agoyin, I use vegetable oil and when it is very hot, I add a small amount of palm oil. Watch the video below to see how I do that.
Now add the precooked onions and stir continuously till the onions is fully caramelized. It should be very dark in colour.
Add the parboiled tomato puree and stir continuously till you cannot tell the difference between the tomatoes and onions.
Add the pepper, crayfish, stock cubes and salt to taste. You can also add a little water at this point if your want.
Stir very well and bring to the boil. The Ewa Agoyin is ready!
","
2 cigar cups (approx. 500g) brown/black eyed beans
5 cooking spoons red palm oil
5 big plum tomatoes
1 handful crayfish
1 big onion
Pepper & Salt (to taste)
2 stock cubes
","quantity:2 cigar cups;customIngredient:(approx. 500g) brown/black eyed beans;|quantity:5 cooking spoons;customIngredient:red palm oil;|
quantity:5;customIngredient:big plum tomatoes;|
quantity:1;customIngredient:handful crayfish;|
quantity:1;customIngredient:big onion;|quantity:1;customIngredient:Pepper & Salt (to taste);|
quantity:2 stock;customIngredient:cubes;|
",https://www.allnigerianrecipes.com/beans/ewa-agoyin/,,https://www.youtube.com/embed/jQ_pgHgwyZM,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/ewa-agoyin.png,Ewa Agoyin is simply plain cooked beans served with tomato and pepper stew. Find out how you can begin to love beans.
Jacket Moi Moi,,,,https://www.allnigerianrecipes.com/beans/jacket-moi-moi/,,https://www.youtube.com/embed/JpJtxa5_kDE,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/jacketmoimoi1.jpg,A different way to wrap Nigerian Moi Moi.
Lentils Porridge,"
Rinse the lentils in plenty of cool water.
Rinse and dice the green pepper and onions.
Scrape, rinse and dice the carrots.
","
600g lentils
1 cooking spoon red palm oil
1 small green pepper
2 carrots
2 red onion
Black pepper (to taste)
1 big stock cube
Salt (to taste)
","quantity:600g;customIngredient:lentils;|quantity:1;customIngredient:cooking spoon red palm oil;|
quantity:1;customIngredient:small green pepper;|
quantity:2;customIngredient:carrots;|
quantity:2;customIngredient:red onion;|quantity:1;customIngredient:Black pepper (to taste);|
quantity:1 stock;customIngredient:big  cube;|
quantity:1;customIngredient:Salt (to taste);|
",https://www.allnigerianrecipes.com/beans/lentils-porridge/,,https://www.youtube.com/embed/L3-90WRqErA,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/lentils-porridge.jpg,"Lentils Porridge is a great way I enjoy lentils, prepared for those with Nigerian taste buds."
Nigerian Moi Moi,"
Blend the beans, tatashe or tomato puree, onions, crayfish, habanero pepper and ground nutmeg together with some of the water and pour the mix into a big enough bowl. 
Add the vegetable oil and the bone marrow stock (if this is what you have chosen to add to your moi moi).
Slowly add the remaining water and stir the mixture at the same time till you get a good mix of all the ingredients.
Add salt to taste and stir very well.

Note: Moi Moi is one of the Nigerian food recipes that is prepared cold. All the mixing and adding of ingredients is done off the stove. That is to say, once you start cooking, there is no going back! You cannot decide to add more salt or seasoning or a new ingredient later. So getting it right at the mixing stage is very important.
        

Pad the base of a big pot, pour some water and set on the stove. The depth of the water should be at most 1 inch.
Dish the Moi moi mix into containers of your choice, add egg/bone marrow/corned beef to each container, seal/cover and set them in the pot.
Add as small quantity of water as possible at a time while cooking the Moi Moi as detailed in preparation and use of moi moi containers so that the moi moi will not become watery when done. This is the case especially when using aluminium foil or uma leaves.
The length of time you will cook your Moi Moi depends on the quantity and the Moi Moi container you used.
        The Moi Moi that gets done quickest is the one wrapped in Uma or Banana leaves, followed by Moi Moi wrapped in aluminum foils then the one that takes the most time is Moi Moi cooked in aluminium or plastic plates.
        But whatever Moi Moi container you use, it is advisable to cook your Moi Moi for at least 1 hour, before checking it. Confirm that it is done by putting a knife through it, if the knife is stained with Moi Moi paste, then the Moi Moi is not done, but if the knife just has a slight smear of Moi Moi, then it's done. Also, when you cut through the Moi Moi, the insides will be set and not watery.
        If you are cooking a few wraps of Moi Moi in a small pot on high heat, then it will only take about 45 minutes to get done while when you are cooking a large pot of Moi Moi, it will definitely take more than one hour.
","
3 cigar cups or 750g Beans (Brown/Black eyed)
5 tablespoons ground crayfish
4 big stock cubes
1 habanero pepper
2 teaspoons ground nutmeg
3 tatashe peppers or 800g watery tomato puree (sold outside Nigeria)
2 big onions
20cl vegetable oil
2 litres of cool or warm water
Salt (to taste)
","quantity:3 cigar cups;customIngredient:or 750g Beans (Brown/Black eyed);|quantity:5 tablespoon;customIngredient:s ground crayfish;|
quantity:4 stock;customIngredient:big  cubes;|
quantity:1;customIngredient:habanero pepper;|
quantity:2 teaspoon;customIngredient:s ground nutmeg;|quantity:3;customIngredient:tatashe peppers or 800g watery tomato puree (sold outside Nigeria);|
quantity:2;customIngredient:big onions;|
quantity:20cl;customIngredient:vegetable oil;|
quantity:2;customIngredient:litres of cool or warm water;|quantity:1;customIngredient:Salt (to taste);|
",https://www.allnigerianrecipes.com/beans/moi-moi-moin-moin/,,https://www.youtube.com/embed/HpmnBzeWz8Q,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/moi-moi-moin-moin.jpg,"Moin Moin, Moyin Moyin or Steamed Beans Pudding is a traditional beans recipe enjoyed by everybody. Learn how to prepare a very delicious one!"
Nigerian Fried Beans,"
Set the pot of beans on the stove. Add the stock cube (crushed) and the chunks of onion. Add enough water to cover the beans and start cooking. Cook the beans till very soft, adding water when necessary. Always keep water to the same level as the beans so that by the time the beans is done, there will not be too much water in the pot.

Note: If you have a pressure cooker, use it to cook the beans till soft. I normally use my pressure cooker for beans but for this recipe, I prefer a normal pot so that I can have more control, especially towards the end.
    

When the beans is done, add salt, leave to dry up all the water and transfer the beans to another container.
Now, set a dry clean pot on the stove, pour the palm oil and heat it up till the oil melts (if congealed). Note that you should only heat it up, not bleach the oil. You will know it is hot enough when a piece of onion dropped into the oil sizzles.
Add the precooked onions and stir for a bit.
Add the ground Habanero pepper and stir till everything is heated up very well, at most 2 minutes.
Add the beans and stir for about 2 minutes. Add salt if necessary.
Cover and leave to simmer for about 2 minutes and it's done.
","
350g brown or black-eyed beans
2 Onions
3 cooking spoons palm oil or more
1 big stock cube
Salt & Habanero pepper (to taste)
Water
","quantity:350g;customIngredient:brown or black-eyed beans;|quantity:2;customIngredient:Onions;|
quantity:3 cooking spoons;customIngredient:palm oil or more;|
quantity:1 stock;customIngredient:big  cube;|
quantity:1;customIngredient:Salt & Habanero pepper (to taste);|quantity:1;customIngredient:Water;|
",https://www.allnigerianrecipes.com/beans/nigerian-fried-beans/,,https://www.youtube.com/embed/9yR5q8ZBmPU,https://www.allnigerianrecipes.com/wp-content/uploads/2019/03/friedbeans.jpg,Nigerian Fried Beans is very delicious and enjoyed by even those who dislike beans meals. Find out how you can begin to love beans.
